MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2017 to Sep 2025


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
,,25,1.6049,1.7427,1.3606
,,28,1.6169,1.7471,1.3562
,,29,1.6212,1.7530,1.3547
,,30,1.6231,1.7518,1.3546
,,31,1.6130,1.7541,1.3584
,Sep,04,1.6125,1.7582,1.3573
,,05,1.6134,1.7522,1.3551
,,06,1.6121,1.7640,1.3534
,,07,1.6074,1.7586,1.3479
,,08,1.6140,1.7558,1.3370
,,11,1.6135,1.7697,1.3431
,,12,1.6086,1.7731,1.3456
,,13,1.6122,1.7907,1.3457
,,14,1.6038,1.7835,1.3510
,,15,1.6036,1.8038,1.3467
,,18,1.6053,1.8270,1.3440
,,19,1.6125,1.8209,1.3473
,,20,1.6166,1.8201,1.3463
,,21,1.6065,1.8237,1.3518
,,22,1.6130,1.8315,1.3491
,,25,1.6069,1.8219,1.3467
,,26,1.6016,1.8204,1.3504
,,27,1.5982,1.8215,1.3554
,,28,1.5982,1.8226,1.3624
,,29,1.6007,1.8224,1.3584
,Oct,02,1.6027,1.8193,1.3609
,,03,1.5986,1.8099,1.3657
,,04,1.6010,1.8050,1.3606
,,05,1.6031,1.8059,1.3638
,,06,1.5990,1.7891,1.3666
,,09,1.6012,1.7864,1.3643
,,10,1.5999,1.7887,1.3596
,,11,1.6024,1.7912,1.3570
,,12,1.6076,1.7947,1.3538
,,13,1.6043,1.7977,1.3542
,,16,1.5952,1.7958,1.3511
,,17,1.5959,1.7959,1.3549
,,19,1.6036,1.7952,1.3590
,,20,1.6065,1.7820,1.3595
,,23,1.6032,1.7976,1.3621
,,24,1.5994,1.7973,1.3593
,,25,1.6016,1.7894,1.3624
,,26,1.6087,1.8044,1.3604
,,27,1.5924,1.7975,1.3682
,,30,1.5858,1.7941,1.3654
,,31,1.5831,1.7965,1.3605
,Nov,01,1.5842,1.8076,1.3620
,,02,1.5835,1.8043,1.3587
,,03,1.5868,1.7790,1.3612
,,06,1.5848,1.7845,1.3644
,,07,1.5819,1.7947,1.3622
,,08,1.5814,1.7959,1.3637
,,09,1.5787,1.7876,1.3618
,,10,1.5827,1.7864,1.3589
,,13,1.5859,1.7853,1.3605
,,14,1.5886,1.7850,1.3611
,,15,1.6027,1.7858,1.3589
,,16,1.5983,1.7872,1.3571
,,17,1.5990,1.7919,1.3541
,,20,1.5926,1.7914,1.3571
,,21,1.5922,1.7970,1.3565
,,22,1.5898,1.7949,1.3543
,,23,1.5943,1.7962,1.3474
,,24,1.5952,1.7900,1.3468
,,27,1.6051,1.7924,1.3461
,,28,1.6031,1.7946,1.3467
,,29,1.5958,1.7989,1.3465
,,30,1.5991,1.8157,1.3476
,Dec,01,1.6058,1.8243,1.3481
,,04,1.6009,1.8168,1.3486
,,05,1.5978,1.8119,1.3456
,,06,1.5952,1.8093,1.3468
,,07,1.5915,1.8044,1.3482
,,08,1.5903,1.8208,1.3514
,,11,1.5920,1.8107,1.3513
,,12,1.5908,1.8029,1.3516
,,13,1.5889,1.8009,1.3513
,,14,1.5941,1.8092,1.3470
,,15,1.5874,1.8099,1.3472
,,18,1.5874,1.7999,1.3494
,,19,1.5891,1.8033,1.3481
,,20,1.5950,1.8036,1.3465
,,21,1.5959,1.7973,1.3449
,,22,1.5933,1.7991,1.3448
,,26,1.5954,1.7975,1.3441
,,27,1.5929,1.7959,1.3427
,,28,1.5953,1.7976,1.3395
,,29,1.5962,1.7987,1.3366

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
2018,Jan,02,1.6023,1.8029,1.3338
,,03,1.6026,1.8084,1.3303
,,04,1.5982,1.7981,1.3301
,,05,1.6022,1.7999,1.3269
,,08,1.5991,1.8031,1.3290
,,09,1.5937,1.8075,1.3313
,,10,1.5947,1.8073,1.3353
,,11,1.5931,1.7998,1.3329
,,12,1.6008,1.7999,1.3286
,,15,1.6133,1.8169,1.3224
,,16,1.6212,1.8231,1.3227
,,17,1.6210,1.8222,1.3214
,,18,1.6141,1.8300,1.3253
,,19,1.6163,1.8344,1.3176
,,22,1.6158,1.8329,1.3212
,,23,1.6159,1.8437,1.3186
,,24,1.6197,1.8462,1.3154
,,25,1.6226,1.8659,1.3053
,,26,1.6246,1.8544,1.3073
,,29,1.6241,1.8500,1.3081
,,30,1.6239,1.8437,1.3119
,,31,1.6272,1.8566,1.3091
,Feb,01,1.6297,1.8623,1.3116
,,02,1.6392,1.8714,1.3115
,,05,1.6414,1.8601,1.3180
,,06,1.6346,1.8450,1.3219
,,07,1.6324,1.8402,1.3178
,,08,1.6317,1.8461,1.3291
,,09,1.6328,1.8571,1.3323
,,12,1.6293,1.8375,1.3259
,,13,1.6265,1.8312,1.3233
,,14,1.6336,1.8350,1.3185
,,15,1.6361,1.8402,1.3132
,,19,1.6290,1.8413,1.3115
,,20,1.6292,1.8381,1.3156
,,21,1.6268,1.8456,1.3193
,,22,1.6266,1.8431,1.3251
,,23,1.6254,1.8423,1.3208
,,26,1.6230,1.8454,1.3184
,,27,1.6232,1.8384,1.3173
,,28,1.6206,1.8430,1.3258
,Mar,01,1.6160,1.8231,1.3251
,,02,1.6232,1.8220,1.3217
,,05,1.6262,1.8197,1.3192
,,06,1.6272,1.8244,1.3177
,,07,1.6345,1.8286,1.3162
,,08,1.6300,1.8270,1.3140
,,09,1.6227,1.8197,1.3182
,,12,1.6196,1.8216,1.3143
,,13,1.6192,1.8251,1.3131
,,14,1.6251,1.8320,1.3101
,,15,1.6218,1.8317,1.3101
,,16,1.6185,1.8318,1.3148
,,19,1.6175,1.8362,1.3182
,,20,1.6234,1.8460,1.3150
,,21,1.6161,1.8466,1.3178
,,22,1.6230,1.8592,1.3127
,,23,1.6220,1.8565,1.3151
,,26,1.6228,1.8577,1.3116
,,27,1.6271,1.8600,1.3067
,,28,1.6241,1.8553,1.3075
,,29,1.6169,1.8470,1.3117
,Apr,02,1.6144,1.8403,1.3107
,,03,1.6123,1.8416,1.3102
,,04,1.6099,1.8472,1.3107
,,05,1.6124,1.8480,1.3125
,,06,1.6123,1.8441,1.3170
,,09,1.6112,1.8504,1.3127
,,10,1.6142,1.8529,1.3108
,,11,1.6179,1.8560,1.3088
,,12,1.6196,1.8574,1.3095
,,13,1.6173,1.8672,1.3118
,,16,1.6197,1.8724,1.3128
,,17,1.6223,1.8785,1.3103
,,18,1.6227,1.8746,1.3108
,,19,1.6209,1.8588,1.3095
,,20,1.6196,1.8477,1.3123
,,23,1.6160,1.8460,1.3169
,,24,1.6160,1.8455,1.3232
,,25,1.6188,1.8516,1.3243
,,26,1.6168,1.8515,1.3274
,,27,1.6071,1.8484,1.3269
,,30,1.6052,1.8243,1.3238
,May,02,1.6009,1.8155,1.3335
,,03,1.5975,1.8130,1.3334
,,04,1.5941,1.8055,1.3294
,,07,1.5958,1.8073,1.3333
,,08,1.5929,1.8120,1.3368
,,09,1.5907,1.8155,1.3421
,,10,1.5946,1.8236,1.3442
,,11,1.5935,1.8088,1.3370
,,14,1.5942,1.8081,1.3327
,,15,1.5942,1.8119,1.3361
,,16,1.5883,1.8124,1.3425
,,17,1.5832,1.8150,1.3390
,,18,1.5847,1.8143,1.3428
,,21,1.5796,1.8061,1.3440
,,22,1.5788,1.7983,1.3398
,,23,1.5774,1.7987,1.3413
,,24,1.5723,1.7955,1.3430
,,25,1.5696,1.7925,1.3405
,,28,1.5682,1.7844,1.3384
,,30,1.5515,1.7827,1.3452
,,31,1.5614,1.7807,1.3382
,Jun,01,1.5643,1.7760,1.3391
,,04,1.5632,1.7873,1.3366
,,05,1.5609,1.7772,1.3352
,,06,1.5626,1.7871,1.3326
,,07,1.5695,1.7876,1.3316
,,08,1.5735,1.7896,1.3339
,,11,1.5732,1.7890,1.3341
,,12,1.5707,1.7839,1.3352
,,13,1.5701,1.7868,1.3371
,,14,1.5770,1.7891,1.3363
,,18,1.5662,1.7936,1.3513
,,19,1.5728,1.7930,1.3510
,,20,1.5702,1.7855,1.3569
,,21,1.5743,1.7919,1.3614
,,22,1.5772,1.8014,1.3582
,,25,1.5881,1.8070,1.3624
,,26,1.5936,1.8075,1.3609
,,27,1.5885,1.8024,1.3626
,,28,1.5818,1.7933,1.3675
,,29,1.5885,1.7902,1.3650
,Jul,02,1.5900,1.7979,1.3646
,,03,1.5960,1.8018,1.3721
,,04,1.5904,1.8004,1.3633
,,05,1.5924,1.8065,1.3659
,,06,1.5959,1.8048,1.3655
,,09,1.5950,1.8030,1.3559
,,10,1.5912,1.7935,1.3547
,,11,1.5939,1.8026,1.3592
,,12,1.5910,1.7984,1.3627
,,13,1.5902,1.7970,1.3635
,,16,1.5942,1.8062,1.3644
,,17,1.5933,1.8014,1.3596
,,18,1.5911,1.7904,1.3656
,,19,1.5926,1.7880,1.3669
,,20,1.5960,1.7836,1.3699
,,23,1.5980,1.7895,1.3611
,,24,1.5963,1.7887,1.3659
,,25,1.5943,1.7936,1.3647
,,26,1.5953,1.7949,1.3595
,,27,1.5873,1.7862,1.3626
,,30,1.5880,1.7855,1.3626
,,31,1.5944,1.7872,1.3619
,Aug,01,1.5907,1.7853,1.3617
,,02,1.5906,1.7889,1.3651
,,03,1.5865,1.7820,1.3687
,,06,1.5795,1.7753,1.3660
,,07,1.5810,1.7705,1.3682
,,08,1.5842,1.7657,1.3634
,,10,1.5764,1.7540,1.3670
,,13,1.5659,1.7552,1.3757
,,14,1.5681,1.7556,1.3747
,,15,1.5628,1.7526,1.3804
,,16,1.5648,1.7489,1.3745
,,17,1.5645,1.7484,1.3749
